Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type,Property Type - Self Selected,Year Built,Energy Audit Due Date,Energy Audit Status,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption,2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Percentage Better than National Median Source EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Percentage Better than National Median Source EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Percent Better than National Median Source EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percent Better than National Median Source EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percent Better than National Median Source EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
4265/026,Betel Apartments,1227 HAMPSHIRE ST,94110,48300,Mixed Residential,,1978,,,Violation - Insufficient Data,,Violation - Insufficient Data,,Exempt,PG&E will not provide data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304/018,711 POST ST,711 POST ST,94102,36780,Mixed Residential,Hotel,1907,,,Complied,,Violation - Insufficient Data,,Complied,,,,,,,,,,,,,,,,,46.3,67.4,-55.6,-55.6,55.1,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3789/009,275 BRANNAN ST,275 BRANNAN ST,94107,57120,Commercial,Office,1906,2024-04-01 0:00:00,Upcoming,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Vacancy,Exempt,Vacancy,,,,,,,,,,,,,,,88,36.8,92.1,-48.4,-48.4,36.5,91.8,95,33.5,99.3,-55.6,-55.6,33.9,99.7,95,33.9,99.1,-55,-55,34.5,99.7,96,32.6,96,-57,-57,33,96.3,96,31.6,93.5,-57.7,-57.7,32.7,95.1,97,31.7,93.4,-58.6,-58.6,31.8,93.5,,,,,,,,,,,,,,
5254/020,1555 Galvez Ave,1555 GALVEZ AVE,94124,16538,Commercial,Manufacturing/Industrial Plant,0,2020-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,45,,,15.1,45,,,,,,,,,,,,,,
3726/152,518 Minna,514 MINNA ST,94103,50697,Mixed Residential,Multifamily Housing,1994,,,Complied,,Violation - Did Not Report,,Complied,,,,,,,,,,,,,,,,,24,45.7,-50.1,-50.1,24.2,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8703/006,Crescent Cove,420 BERRY ST,94107,180656,Mixed Residential,Multifamily Housing,2007,,,Complied,,Complied,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,39.6,77.1,1,1,41,79.9,60,37.2,73.2,-6.4,-6.4,38,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0238/001,275 Battery Street,275 BATTERY ST,94104,588929,Commercial,Office,1989,2023-04-01 0:00:00,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,34.8,89.2,-46.4,-46.4,36.2,90.6,83,43.9,114,-41.3,-41.3,43.8,112.8,79,44.2,115.6,-35.4,-35.4,44.5,116.2,92,45.1,130.8,-47.8,-47.8,45.8,131.4,92,44.8,129.7,-48.1,-48.1,46.8,131.8,92,45.9,133.6,-47,-47,45.9,132.8,91,45.8,133.6,-46.7,-46.7,47,134.8,90,51.7,142.9,-43.8,-43.8,51.8,143,89,53.8,155.7,-43,,53.3,155.2,83,59,,-34.5,,58.6,
4991/346,101 CRESCENT WAY,101 CRESCENT WAY,94124,110086,Mixed Residential,,2001,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921/001,1601 22ND AVE,1601 22ND AVE,94122,19000,Commercial,Worship Facility,1939,2022-04-01 0:00:00,Upcoming,Complied,,Complied,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,17.4,23.3,-37.8,-37.8,18,23.9,75,17.9,25.2,-36.8,-36.8,18.4,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5216/028,CitiScape - 1501-1599 Custer Avenue,1501 CUSTER AVE,94124,92530,Commercial,Non-Refrigerated Warehouse,1964,2020-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,34.8,73.6,17.2,17.2,35.6,74.4,47,33.8,70.7,3.8,3.8,33.5,70.4,,,,,,,,,,,,,,
3519/006,364 9TH ST,364 9TH ST,94103,19050,Commercial,Hotel,1955,2020-04-01 0:00:00,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,145.6,258.9,1,1,146.1,260.4,32,188.8,295.4,15,15,190.8,298.3,35,182.3,287.1,11.9,11.9,183.8,291.4,39,154.4,284.2,8.9,8.9,157.4,291.9,36,153.3,289.6,12,12,154.9,292.1,38,160.3,283.8,10,10,164.9,291.1,39,156.6,280.1,9.4,9.4,166.4,298.7,35,163.6,299.2,13,13,158.3,289.9,,,,,,,,,,,,,,
3115/054,625 Monterey Blvd,625 MONTEREY BLVD,94112,61242,Commercial,Supermarket/Grocery Store,1942,2024-04-01 0:00:00,Upcoming,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,31,224.5,608,20,20,224.5,608,28,227.2,621.8,23.8,23.8,227.2,621.8,35,243.2,742.4,9.5,9.5,243.2,742.4,34,243.2,736.1,10.5,10.5,244,736.8,29,248.8,764.6,,,249.3,765.2,29,241,741.1,14.8,14.8,243,743.2,33,246.6,747.8,11.7,11.7,244.8,745.9,32,246.2,751.4,12.2,12.2,244.4,749.6,11,248.7,,35,,248.7,
0310/003,K&H California,45 KEARNY ST,94108,28660,Commercial,Office,1907,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,,31.8,78.1,-15.1,-15.1,35.3,84.5,64,39.1,95,-17.2,-17.2,41.2,98.7,43,50.5,115.7,7.8,7.8,50.3,115.2,51,54.2,134.4,-2.1,-2.1,54.8,136.1,43,64,144.3,7.1,7.1,64,144.3,56,54.5,127.9,-7,-7,55.6,129,58,53,122.8,-8.8,-8.8,55.9,127.4,,,,,,,,,140.9,400.6,107.3,,142.5,404.7,,,,,,,
0467A/023,2000 CHESTNUT ST,2000 CHESTNUT ST,94123,68273,Mixed Residential,,1927,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0142/005,924 SANSOME ST,924 SANSOME ST,94111,20832,Commercial,Restaurant,1911,2021-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,31.9,-74.1,-74.1,18.5,31.9,,32.8,53.7,-56,-56,32.8,53.7,,35,57.9,-53,-53,35,57.9,,40.4,64.8,-47.4,-47.4,40.5,64.9,,,,,,,,,,,,,,
0334/006,410 EDDY ST,410 EDDY ST,94109,59970,Mixed Residential,,1907,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5370/054,225 INDUSTRIAL ST,225 INDUSTRIAL ST,94124,11200,Commercial,Other,1957,2014-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3755/056,301 8th Street,301 8TH ST,94103,72324,Commercial,Mixed Use Property,1914,2020-04-01 0:00:00,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,,10.1,17.8,-80.1,-80.1,10.9,18.8,,10.5,19.6,-82.5,-82.5,10.8,19.8,,10.4,21.7,-80.7,-80.7,10.4,21.7,,18.8,34.9,-59,-59,18.8,34.9,,20,41,-51.8,-51.8,20,41,,13.6,37.5,-56,-56,14,37.9,,14.3,37.8,-55.6,-55.6,14.3,37.8,,13.4,31.7,-62.8,-62.8,12.5,30.7,,7.2,12.5,-89.8,,5.2,10.1,,,,,,,
0291/005,Chancery Building,562 MARKET ST,94104,65000,Commercial,Office,1923,2019-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,,40,82.5,-30,-30,45.8,88.5,59,71.3,135.2,-11.4,-11.4,74.8,138.9,46,81.6,150.7,4.4,4.4,81,150,68,79.5,162.5,-19,-19,82.2,165.4,63,86.8,171.5,-13.6,-13.6,91.2,176.1,70,73.6,157.9,-21,-21,76.4,160.8,67,76.2,161.8,-18.4,-18.4,79.8,165.6,67,85.5,172.3,-17.9,-17.9,85.8,172.6,,48.4,161.7,-28.8,,48.8,162.9,,34.1,,-30.6,,35,
3715/025,Jim Joseph Building,131 STEUART ST,94105,79837,Commercial,Office,1907,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,,53.8,113.4,-14.9,-14.9,51,103.9,82,40.9,79.8,-40.2,-40.2,40.8,78.5,73,45.3,89.6,-29,-29,54,114.2,59,61.8,147.7,-9.6,-9.6,,,,68.3,167.7,13.3,13.3,68.3,167.7,,58.3,141.6,,,58.7,142.1,,68.8,172.7,16.6,16.6,67.4,168.2,,,,,,,,,77.2,193.6,13.5,,78,196.2,,116.1,,49.5,,118,
3731/033,259 7TH ST,259 7TH ST,94103,10451,Commercial,Hotel,1900,2014-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0751/001,1625 EDDY ST,1625 EDDY ST,94115,154171,Mixed Residential,,1969,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0816/070,233 FRANKLIN ST,233 FRANKLIN ST,94102,55537,Mixed Residential,,2010,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450/048,369 18TH AVE,369 18TH AVE,94121,72899,Multifamily,,1923,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3786/020,17 BLUXOME ST,17 BLUXOME ST,94107,10800,Commercial,Office,0,2021-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,22.3,48.6,-67.5,-67.5,26.1,52.6,91,30,68.3,-54.4,-54.4,32.9,71.3,86,30.4,72.8,-45.8,-45.8,30.3,72.8,92,32.7,80.7,-48.6,-48.6,35.4,82.6,92,30.6,78.2,-49.1,-49.1,30.6,78.2,45,58,164.8,5,5,59.1,166,26,66.3,200.7,30.1,30.1,71.3,213.1,32,64.1,192.2,21.1,21.1,64.5,193.2,,,,,,,,,,,,,,
3507/043,NEMA SF,8 10th st,94103,1044955,Multifamily,Multifamily Housing,,,,Complied,,Complied,,Exempt,PG&E will not provide data,,,,,,,,,,,,,,,,27.3,46.7,-40.2,-40.2,27.6,47,93,31.2,54.1,-31.4,-31.4,31.2,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0047/006,1080 CHESTNUT ST,1080 CHESTNUT ST,94109,217738,Mixed Residential,,1962,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0285/012,Orchard Hotel,665 BUSH ST,94108,67921,Commercial,Hotel,2000,2023-04-01 0:00:00,Upcoming,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,99,31.4,83.7,-60.9,-60.9,31.4,83.7,90,64.3,128.8,-38.5,-38.5,63.8,127.3,92,59.4,125.9,-41,-41,58.9,124.2,84,73,149.2,-31.8,-31.8,72.2,146.6,82,79.6,158,-29.7,-29.7,79.2,156.6,98,37.2,108.4,-55,,37.5,109.5,,,,,,,
0567/125,1940 BROADWAY,1940 BROADWAY,94109,63053,Mixed Residential,,,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0242/005,Charles Dunn - 720 California Street,720 CALIFORNIA ST,94108,92065,Commercial,Office,1926,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,66.2,134,-41.6,-41.6,70.9,138.9,67,88.2,180.1,-21.6,-21.6,90.2,182.2,64,89.3,184.1,-17.3,-17.3,88.9,183.9,66,84.9,183,-20.1,-20.1,86.5,184.7,72,84.1,202.4,-23.7,-23.7,87.3,205.8,85,79.7,194.9,-38,-38,81.2,195.6,86,74.6,186.6,-40,-40,79.5,191.7,83,78.6,201.2,-36.1,-36.2,78.9,201.6,77,96,246,-28.3,,95,245,79,91.6,,-30.3,,91.6,
4025/003B,690 POTRERO AVE,690 POTRERO AVE,94110,14000,Commercial,Office,1932,2019-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,11.3,18.7,-76.5,-76.5,11.1,18.4,96,15.8,29.1,-63.5,-63.5,15.5,28.9,98,13.7,23.2,-70.7,-70.7,13.8,23.3,100,3.3,10.3,-90.5,-90.5,4,12.4,100,2.7,8.6,-92,-92,3.1,9.8,100,3.8,12.1,-89,-89,4.5,14,100,3.1,9.9,-90.7,-90.7,4.3,13.6,99,11.6,36.5,-66.2,-66.2,11.6,36.5,,,,,,,,,,,,,,
3735/008,282 2nd Street,606 FOLSOM ST,94105,35415,Commercial,Office,1900,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,37.1,103.8,-10.8,-10.8,37.1,103.8,69,44.9,125.4,-23.9,-23.9,43.9,122.6,45,81.2,161.5,6.4,6.4,81.4,162.1,46,93.1,197.4,3.8,3.8,93.1,197.4,50,91.7,187.2,-0.2,-0.2,90.7,184.1,51,92.4,187.8,-1,-1,91.4,184.8,63,92.1,188.7,-13.8,-13.8,91.4,186.8,91,61.9,141.6,-46.4,-46.5,62,141.7,93,59.3,134.1,-49.7,,60,136,,,,,,,
0795/025,Ammel Park Coop,822 BUCHANAN ST,94102,94060,Mixed Residential,,1975,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0206/002,447 BATTERY ST,447 BATTERY ST,94111,20154,Commercial,Office,1907,2022-04-01 0:00:00,Upcoming,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,80.1,155.4,33.5,33.5,82.1,155.1,,84,162,39.2,39.2,83.6,162.1,,82.9,166.2,42.8,42.8,83.6,164.9,,70.9,159.1,7.4,7.4,72.6,158.4,,68.7,158.4,7,7,68.5,155.7,,62.6,148.2,0.1,0.1,65.9,151.7,,58.7,133,-10.2,-10.2,59.1,133.3,,,,,,,,,,,,,,
7295/014,333 Eucalyptus dr,333 EUCALYPTUS DR,94132,27644,Commercial,Other,1953,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,64.2,105.2,17.9,17.9,64.2,105.2,,192.5,277.7,211.1,211.1,192.3,277.2,,216.9,308.2,245.3,245.3,216.6,307.8,,202.4,308.5,150.6,150.6,202.4,308.5,,249,370,200.5,200.5,249,370,,258,396.9,222,222,262.4,401.5,,278.5,416.7,238.4,238.4,289.9,428.6,,290.2,430.5,249.7,249.7,283.3,423.3,,343,520.3,779.4,,338.5,515.6,,,,,,,
3764/061,340 BRYANT ST,340 BRYANT ST,94107,60766,Commercial,Office,1932,2020-04-01 0:00:00,Complied,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,New Construction,Exempt,New Construction,Exempt,New Construction,Exempt,,Violation - Did Not Report,,,1.8,2.1,-99.2,-99.2,1.8,2.1,,3.3,3.6,-98.6,-98.6,3.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0659/006,2222 BUSH: Cannabis,2222 BUSH,94115,,Cannabis Business,,,,,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900/050,"Pier 50 - Shed A, B, and D",50 PIER,94158,108431,Commercial,Non-Refrigerated Warehouse,1900,2099-04-01 0:00:00,Exempt - Municipal,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,31.2,83.9,262,262,31.4,84.1,,,,,,,,,,,,,,,,,,,,,,2,36.1,109,198.1,198.1,36.4,109.4,1,37.9,113.9,211,211,,,2,34,102.3,181.2,181.2,,,,,,,,,,,,,,,,,,,,,,,
0508/012,Hotel Del Sol,3100 WEBSTER ST,94123,30598,Commercial,Hotel,1956,2019-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,25,88.8,147.9,21.5,21.5,88.8,147.9,50,83.5,134.1,-0.4,-0.4,85.7,138.8,44,85.2,136.5,4.9,4.9,87.4,143.4,33,100.9,155.8,16,16,101.3,157.2,31,99.7,153.4,17.1,17.1,99.7,153.4,35,101.4,154.3,12.7,12.6,101.4,154.3,63,88.1,124.6,-10.8,-10.7,88,124.1,,,,,,,
0173/002,643 FRONT ST,649 FRONT ST,94111,19322,Commercial,Office,1910,2021-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Exempt,SqFt Not Subject This Year,,21.9,50.9,-67.9,-67.9,21.9,50.9,95,21.4,60,-62.2,-62.2,21.4,60,94,20.8,58.1,-59.5,-59.5,20.8,58.1,92,26.6,66.4,-56.3,-56.3,26.6,66.4,97,24.5,71.8,-58.9,-58.9,24.5,71.8,96,28.7,78.5,-56,-56,29.4,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6574/022,O'Reilly Auto Parts #3489,3146 MISSION ST,94110,29890,Commercial,Retail Store,1949,2020-04-01 0:00:00,Complied,Complied,,Complied,,Complied,,Exempt,Vacancy,Exempt,Vacancy,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,,17,47.7,-45.7,-45.7,17,47.7,97,15.4,43.1,-44.6,-44.6,15.4,43.1,,9.9,27.7,-77,-77,9.9,27.7,,,,,,,,,,,,,,,,,,,,,,94,27.2,85.4,-50.9,-50.9,27.2,85.4,94,27.4,85.9,-51.1,-51.1,27.4,85.9,92,29.3,92,-47.8,,29.3,92,,,,,,,
1608/018,Full Life Christian Center,3535 BALBOA ST,94121,15350,Commercial,Worship Facility,1947,2020-04-01 0:00:00,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,,8.9,19,-69.1,-69.1,8.9,19,84,13.9,30.1,-51.3,-51.3,13.9,30.1,85,13,28.8,-52.6,-52.6,13,28.8,92,14.7,36.4,-50.7,-50.7,15,36.7,90,15.1,38,-47,-47,15.2,38.1,90,14.5,37.5,-48,-48,14.5,37.5,89,14.2,37.5,-46.3,-46.3,14.6,37.9,91,15.3,38.9,-49.2,-49.3,15,38.7,,,,,,,,,,,,,,
0331/028,210-238 Taylor Street,222 Taylor St,94102,116626,Mixed Residential,Multifamily Housing,2019,,,Complied,,Exempt,Vacancy,Exempt,New Construction,,,,,,,,,,,,,,,,37,55.1,-43.8,-43.8,37.7,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3575/091,2101 MISSION ST,2101 MISSION ST,94110,131885,Commercial,Retail Store,1916,2019-04-01 0:00:00,Complied,Complied,,Violation - Did Not Report,,Complied,,Exempt,Change in Ownership,Complied,,Complied,,Complied,,Complied,,Exempt,,Violation - Did Not Report,,,5.3,14.6,-82.5,-82.5,5.3,14.6,,,,,,,,98,10.8,29.8,-66.6,-66.6,11.2,31.1,,,,,,,,99,12.3,38.1,-67.6,-67.6,12.3,38.1,99,12.5,34.2,-71,-71,12.8,34.6,,12.2,30.8,-79.2,-79.2,12.2,30.8,,11.4,28.6,-80.6,-80.7,10.7,27.9,,,,,,,,,,,,,,
7330/009,55 CHUMASERO DR,55 CHUMASERO DR,94132,260480,Mixed Residential,,1949,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0678/126,2295 BUSH ST,2295 BUSH ST,94115,61819,Mixed Residential,,,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
